0.000000 0.000000
0.100000 -0.000062
0.200000 -0.000499
0.300000 -0.001681
0.400000 -0.003973
0.500000 -0.007732
0.600000 -0.013299
0.700000 -0.021004
0.800000 -0.031158
0.900000 -0.044050
1.000000 -0.059949
1.100000 -0.079098
1.200000 -0.101711
1.300000 -0.127977
1.400000 -0.158052
1.500000 -0.192063
1.600000 -0.230104
1.700000 -0.272235
1.800000 -0.318483
1.900000 -0.368843
2.000000 -0.423275
2.100000 -0.481708
2.200000 -0.544037
2.300000 -0.610127
2.400000 -0.679815
2.500000 -0.752906
2.600000 -0.829182
2.700000 -0.908399
2.800000 -0.990291
2.900000 -1.074573
3.000000 -1.160941
3.100000 -1.249079
3.200000 -1.338657
3.300000 -1.429337
3.400000 -1.520774
3.500000 -1.612622
3.600000 -1.704534
3.700000 -1.796166
3.800000 -1.887179
3.900000 -1.977244
4.000000 -2.066043
4.100000 -2.153273
4.200000 -2.238647
4.300000 -2.321897
4.400000 -2.402776
4.500000 -2.481060
4.600000 -2.556553
4.700000 -2.629081
4.800000 -2.698500
4.900000 -2.764695
5.000000 -2.827579
5.100000 -2.887097
5.200000 -2.943223
5.300000 -2.995961
5.400000 -3.045344
5.500000 -3.091438
5.600000 -3.134332
5.700000 -3.174146
5.800000 -3.211026
5.900000 -3.245139
6.000000 -3.276679
6.100000 -3.305858
6.200000 -3.332907
6.300000 -3.358073
6.400000 -3.381617
6.500000 -3.403812
6.600000 -3.424939
6.700000 -3.445284
6.800000 -3.465137
6.900000 -3.484788
7.000000 -3.504525
7.100000 -3.524628
7.200000 -3.545372
7.300000 -3.567017
7.400000 -3.589812
7.500000 -3.613987
7.600000 -3.639752
7.700000 -3.667293
7.800000 -3.696772
7.900000 -3.728318
8.000000 -3.762030
8.100000 -3.797967
8.200000 -3.836147
8.300000 -3.876543
8.400000 -3.919074
8.500000 -3.963599
8.600000 -4.009911
8.700000 -4.057724
8.800000 -4.106663
8.900000 -4.156248
9.000000 -4.205876
9.100000 -4.254799
9.200000 -4.302097
9.300000 -4.346647
9.400000 -4.387077
9.500000 -4.421724
9.600000 -4.448569
9.700000 -4.465170
9.800000 -4.468570
9.900000 -4.455193
10.000000 -4.420724
